Date,Value
2014-11-23,24624.0
2014-11-22,24586.0
2014-11-21,24545.0
2014-11-20,24499.0
2014-11-19,24454.0
2014-11-18,24408.0
2014-11-17,24361.0
2014-11-16,24312.0
2014-11-15,24270.0
2014-11-14,24231.0
2014-11-13,24182.0
2014-11-12,24127.0
2014-11-11,24078.0
2014-11-10,24032.0
2014-11-09,23985.0
2014-11-08,23941.0
2014-11-07,23900.0
2014-11-06,23850.0
2014-11-05,23803.0
2014-11-04,23757.0
2014-11-03,23710.0
2014-11-02,23664.0
2014-11-01,23619.0
2014-10-31,23581.0
2014-10-30,23534.0
2014-10-29,23486.0
2014-10-28,23440.0
2014-10-27,23392.0
2014-10-26,23347.0
2014-10-25,23310.0
2014-10-24,23270.0
2014-10-23,23227.0
2014-10-22,23184.0
2014-10-21,23141.0
2014-10-20,23097.0
2014-10-19,23055.0
2014-10-18,23017.0
2014-10-17,22980.0
2014-10-16,22942.0
2014-10-15,22902.0
2014-10-14,22860.0
2014-10-13,22814.0
2014-10-12,22771.0
2014-10-11,22732.0
2014-10-10,22698.0
2014-10-09,22655.0
2014-10-08,22615.0
2014-10-07,22572.0
2014-10-06,22529.0
2014-10-05,22487.0
2014-10-04,22447.0
2014-10-03,22404.0
2014-10-02,22365.0
2014-10-01,22325.0
2014-09-30,22282.0
2014-09-29,22238.0
2014-09-28,22198.0
2014-09-27,22156.0
2014-09-26,22119.0
2014-09-25,22079.0
2014-09-24,22033.0
2014-09-23,21987.0
2014-09-22,21948.0
2014-09-21,21909.0
2014-09-20,21874.0
2014-09-19,21840.0
2014-09-18,21803.0
2014-09-17,21761.0
2014-09-16,21720.0
2014-09-15,21670.0
2014-09-14,21628.0
2014-09-13,21590.0
2014-09-12,21558.0
2014-09-11,21523.0
2014-09-10,21488.0
2014-09-09,21434.0
2014-09-08,21392.0
2014-09-07,21354.0
2014-09-06,21318.0
2014-09-05,21282.0
2014-09-04,21246.0
2014-09-03,21209.0
2014-09-02,21171.0
2014-09-01,21132.0
2014-08-31,21096.0
2014-08-30,21064.0
2014-08-29,21031.0
2014-08-28,20996.0
2014-08-27,20958.0
2014-08-26,20919.0
2014-08-25,20879.0
2014-08-24,20843.0
2014-08-23,20811.0
2014-08-22,20780.0
2014-08-21,20743.0
2014-08-20,20702.0
2014-08-19,20664.0
2014-08-18,20625.0
2014-08-17,20589.0
2014-08-16,20555.0
2014-08-15,20504.0
2014-08-14,20466.0
2014-08-13,20421.0
2014-08-12,20378.0
2014-08-11,20336.0
2014-08-10,20295.0
2014-08-09,20261.0
2014-08-08,20227.0
2014-08-07,20189.0
2014-08-06,20150.0
2014-08-05,20106.0
2014-08-04,20066.0
2014-08-03,20032.0
2014-08-02,20003.0
2014-08-01,19971.0
2014-07-31,19934.0
2014-07-30,19896.0
2014-07-29,19860.0
2014-07-28,19825.0
2014-07-27,19791.0
2014-07-26,19761.0
2014-07-25,19730.0
2014-07-24,19694.0
2014-07-23,19659.0
2014-07-22,19622.0
2014-07-21,19585.0
2014-07-20,19552.0
2014-07-19,19520.0
2014-07-18,19488.0
2014-07-17,19452.0
2014-07-16,19415.0
2014-07-15,19378.0
2014-07-14,19341.0
2014-07-13,19309.0
2014-07-12,19278.0
2014-07-11,19248.0
2014-07-10,19213.0
2014-07-09,19178.0
2014-07-08,19137.0
2014-07-07,19097.0
2014-07-06,19064.0
2014-07-05,19033.0
2014-07-04,19008.0
2014-07-03,18976.0
2014-07-02,18941.0
2014-07-01,18903.0
2014-06-30,18860.0
2014-06-29,18825.0
2014-06-28,18794.0
2014-06-27,18763.0
2014-06-26,18730.0
2014-06-25,18696.0
2014-06-24,18660.0
2014-06-23,18624.0
2014-06-22,18593.0
2014-06-21,18563.0
2014-06-20,18534.0
2014-06-19,18500.0
2014-06-18,18466.0
2014-06-17,18430.0
2014-06-16,18394.0
2014-06-15,18357.0
2014-06-14,18327.0
2014-06-13,18295.0
2014-06-12,18258.0
2014-06-11,18223.0
2014-06-10,18188.0
2014-06-09,18150.0
2014-06-08,18117.0
2014-06-07,18089.0
2014-06-06,18060.0
2014-06-05,18023.0
2014-06-04,17986.0
2014-06-03,17950.0
2014-06-02,17910.0
2014-06-01,17876.0
2014-05-31,17844.0
2014-05-30,17814.0
2014-05-29,17778.0
2014-05-28,17742.0
2014-05-27,17702.0
2014-05-26,17665.0
2014-05-25,17629.0
2014-05-24,17598.0
2014-05-23,17567.0
2014-05-22,17527.0
2014-05-21,17489.0
2014-05-20,17447.0
2014-05-19,17408.0
2014-05-18,17371.0
2014-05-17,17340.0
2014-05-16,17308.0
2014-05-15,17271.0
2014-05-14,17232.0
2014-05-13,17195.0
2014-05-12,17158.0
2014-05-11,17121.0
2014-05-10,17092.0
2014-05-09,17062.0
2014-05-08,17026.0
2014-05-07,16991.0
2014-05-06,16954.0
2014-05-05,16915.0
2014-05-04,16882.0
2014-05-03,16853.0
2014-05-02,16825.0
2014-05-01,16793.0
2014-04-30,16759.0
2014-04-29,16724.0
2014-04-28,16689.0
2014-04-27,16656.0
2014-04-26,16627.0
2014-04-25,16596.0
2014-04-24,16554.0
2014-04-23,16518.0
2014-04-22,16481.0
2014-04-21,16443.0
2014-04-20,16412.0
2014-04-18,16384.0
2014-04-17,16354.0
2014-04-16,16316.0
2014-04-15,16275.0
2014-04-14,16233.0
2014-04-13,16197.0
2014-04-12,16170.0
2014-04-11,16142.0
2014-04-10,16106.0
2014-04-09,16067.0
2014-04-08,16032.0
